id,machine_number,downtime,timestamp_dt
1910,1,287,2020-09-03 12:00:26.654647
1922,1,287,2020-09-03 12:05:26.753151
1934,1,328,2020-09-03 12:10:26.846527
1946,1,287,2020-09-03 12:15:26.957757
1958,1,287,2020-09-03 12:20:27.041602
1970,1,328,2020-09-03 12:25:27.153045
1982,1,287,2020-09-03 12:30:27.247427
1994,1,287,2020-09-03 12:35:27.357806
2006,1,328,2020-09-03 12:40:27.441532
2018,1,287,2020-09-03 12:45:27.549957
2030,1,287,2020-09-03 12:50:27.640714
2042,1,287,2020-09-03 12:55:27.745221
2054,1,328,2020-09-03 13:00:27.842523
2066,1,287,2020-09-03 13:05:27.942677
2078,1,287,2020-09-03 13:10:28.036735
2090,1,328,2020-09-03 13:15:28.135315
2102,1,287,2020-09-03 13:20:28.256762
2114,1,287,2020-09-03 13:25:28.349167
2126,1,287,2020-09-03 13:30:28.445647
2138,1,328,2020-09-03 13:35:28.534581
2150,1,287,2020-09-03 13:40:28.64005
2162,1,287,2020-09-03 13:45:28.738631
2174,1,328,2020-09-03 13:50:28.833937
2186,1,287,2020-09-03 13:55:28.940149
2198,1,287,2020-09-03 14:00:29.058214
2210,1,328,2020-09-03 14:05:29.138404
2222,1,287,2020-09-03 14:10:29.258168
2234,1,287,2020-09-03 14:15:29.358845
2246,1,328,2020-09-03 14:20:29.43864
2258,1,287,2020-09-03 14:25:29.550313
2270,1,287,2020-09-03 14:30:29.652002
2282,1,328,2020-09-03 14:35:29.73579
2294,1,287,2020-09-03 14:40:29.841746
2306,1,287,2020-09-03 14:45:29.948503
2318,1,328,2020-09-03 14:50:30.039918
2330,1,287,2020-09-03 14:55:30.143703
2342,1,287,2020-09-03 15:00:30.253725
2374,1,328,2020-09-03 15:25:30.747856
2386,1,287,2020-09-03 15:30:30.855555
2398,1,287,2020-09-03 15:35:30.942447
2410,1,328,2020-09-03 15:40:31.046402
2422,1,287,2020-09-03 15:45:31.151431
2434,1,287,2020-09-03 15:50:31.238991
2446,1,328,2020-09-03 15:55:31.344973
2458,1,287,2020-09-03 16:00:31.45144
2470,1,287,2020-09-03 16:05:31.546952
2482,1,287,2020-09-03 16:10:31.653364
2494,1,328,2020-09-03 16:15:31.758623
2506,1,287,2020-09-03 16:20:31.857263
2518,1,287,2020-09-03 16:25:31.935198
2530,1,328,2020-09-03 16:30:32.047257
2542,1,287,2020-09-03 16:35:32.14771
2554,1,287,2020-09-03 16:40:32.249378
2566,1,328,2020-09-03 16:45:32.350478
2578,1,287,2020-09-03 16:50:32.44677
2590,1,287,2020-09-03 16:55:32.560278
2602,1,328,2020-09-03 17:00:32.648364
2614,1,287,2020-09-03 17:05:32.759515
2626,1,287,2020-09-03 17:10:32.85637
2638,1,328,2020-09-03 17:15:32.937048
2650,1,287,2020-09-03 17:20:33.058411
2662,1,287,2020-09-03 17:25:33.137721
2674,1,328,2020-09-03 17:30:33.251922
