id,machine_number,downtime,timestamp_dt
1910,1,287,00:26.7
1922,1,287,05:26.8
1934,1,328,10:26.8
1946,1,287,15:27.0
1958,1,287,20:27.0
1970,1,328,25:27.2
1982,1,287,30:27.2
1994,1,287,35:27.4
2006,1,328,40:27.4
2018,1,287,45:27.5
2030,1,287,50:27.6
2042,1,287,55:27.7
2054,1,328,00:27.8
2066,1,287,05:27.9
2078,1,287,10:28.0
2090,1,328,15:28.1
2102,1,287,20:28.3
2114,1,287,25:28.3
2126,1,287,30:28.4
2138,1,328,35:28.5
2150,1,287,40:28.6
2162,1,287,45:28.7
2174,1,328,50:28.8
2186,1,287,55:28.9
2198,1,287,00:29.1
2210,1,328,05:29.1
2222,1,287,10:29.3
2234,1,287,15:29.4
2246,1,328,20:29.4
2258,1,287,25:29.5
2270,1,287,30:29.7
2282,1,328,35:29.7
2294,1,287,40:29.8
2306,1,287,45:29.9
2318,1,328,50:30.0
2330,1,287,55:30.1
2342,1,287,00:30.3
2374,1,328,25:30.7
2386,1,287,30:30.9
2398,1,287,35:30.9
2410,1,328,40:31.0
2422,1,287,45:31.2
2434,1,287,50:31.2
2446,1,328,55:31.3
2458,1,287,00:31.5
2470,1,287,05:31.5
2482,1,287,10:31.7
2494,1,328,15:31.8
2506,1,287,20:31.9
2518,1,287,25:31.9
2530,1,328,30:32.0
2542,1,287,35:32.1
2554,1,287,40:32.2
2566,1,328,45:32.3
2578,1,287,50:32.4
2590,1,287,55:32.6
2602,1,328,00:32.6
2614,1,287,05:32.8
2626,1,287,10:32.9
2638,1,328,15:32.9
2650,1,287,20:33.1
2662,1,287,25:33.1
2674,1,328,30:33.3
2686,1,287,35:33.3
2698,1,287,40:33.4
2710,1,328,45:33.5
2722,1,287,50:33.6
2734,1,287,55:33.7
2746,1,287,00:33.8
2758,1,328,05:33.9
2770,1,287,10:34.0
2782,1,287,15:34.1
2794,1,328,20:34.2
2806,1,287,25:34.3
2818,1,287,30:34.4
2830,1,328,35:34.5
2842,1,287,40:34.6
2854,1,287,45:34.7
2866,1,328,50:34.8
2878,1,287,55:34.9
2890,1,287,00:35.0
2902,1,328,05:35.1
2914,1,287,10:35.2
2926,1,287,15:35.3
2962,1,287,40:35.8
2974,1,287,45:35.9
2986,1,328,50:36.0
2998,1,287,55:36.1
3010,1,287,00:36.2
3022,1,328,05:36.3
3034,1,287,10:36.4
3046,1,287,15:36.5
3058,1,287,20:36.6
3070,1,328,25:36.7
3082,1,287,30:36.8
3094,1,287,35:36.9
3106,1,328,40:37.0
3118,1,287,45:37.1
3130,1,287,50:37.2
3142,1,328,55:37.3
3154,1,287,00:37.4
3166,1,287,05:37.5
3178,1,328,10:37.6
3190,1,287,15:37.7
3202,1,287,20:37.8
3214,1,328,25:37.9
3226,1,287,30:38.0
3238,1,287,35:38.1
3250,1,328,40:38.2
3262,1,287,45:38.3
3274,1,287,50:38.4
3286,1,287,55:38.5
3298,1,328,00:38.6
3310,1,287,05:38.7
3322,1,287,10:38.8
3334,1,328,15:38.9
3346,1,287,20:39.0
3358,1,287,25:39.1
3370,1,328,30:39.2
3382,1,287,35:39.3
3394,1,287,40:39.4
3406,1,328,45:39.5
3418,1,287,50:39.6
3430,1,287,55:39.7
3442,1,328,00:39.8
3454,1,287,05:39.9
3466,1,287,10:40.0
3478,1,328,15:40.1
3490,1,287,20:40.2
3502,1,287,25:40.3
3514,1,328,30:40.4
3526,1,287,35:40.5
3538,1,287,40:40.6
3550,1,287,45:40.7
3562,1,328,50:40.8
3574,1,287,55:40.9
3586,1,287,00:41.0
3598,1,328,05:41.1
3610,1,287,10:41.2
3622,1,287,15:41.3
3634,1,328,20:41.4
3646,1,287,25:41.5
3658,1,287,30:41.6
3670,1,328,35:41.7
3682,1,287,40:41.8
3694,1,287,45:41.9
3706,1,328,50:42.0
3718,1,287,55:42.1
3742,1,328,05:42.3
3754,1,287,10:42.4
3766,1,287,15:42.5
3778,1,328,20:42.6
4019,1,287,05:45.9
4220,1,287,35:48.9
4232,1,328,40:49.0
4407,1,651,35:51.3
4532,1,287,05:53.1
4541,1,287,10:53.2
4548,1,287,15:53.3
4555,1,328,20:53.4
4564,1,287,25:53.5
4571,1,287,30:53.6
4580,1,328,35:53.7
4586,1,287,40:53.8
4593,1,287,45:53.9
4599,1,328,50:54.0
4607,1,287,55:54.1
4613,1,287,00:54.2
4620,1,328,05:54.3
4631,1,287,10:54.4
4643,1,287,15:54.5
4655,1,328,20:54.7
4667,1,287,25:54.7
4674,1,287,30:54.8
4693,1,328,40:55.0
4705,1,287,45:55.1
4792,1,287,35:56.1
4884,1,328,25:57.1
4896,1,287,30:57.2
4908,1,287,35:57.3
4920,1,328,40:57.4
4944,1,287,50:57.6
4932,1,287,45:57.5
4956,1,287,55:57.7
4968,1,287,00:57.8
4980,1,328,05:57.9
4992,1,287,10:58.0
5004,1,287,15:58.1
5016,1,328,20:58.2
5028,1,287,25:58.3
5040,1,287,30:58.4
5052,1,328,35:58.5
5064,1,287,40:58.6
5076,1,287,45:58.7
5088,1,328,50:58.8
5100,1,287,55:58.9
5112,1,287,00:59.0
5124,1,328,05:59.1
5136,1,287,10:59.2
5148,1,287,15:59.3
5160,1,328,20:59.4
5172,1,287,25:59.5
5184,1,287,30:59.6
5196,1,328,35:59.7
5208,1,287,40:59.8
5220,1,287,45:59.9
5232,1,287,51:00.0
5233,1,328,55:00.1
5245,1,287,00:00.2
5257,1,287,05:00.3
5269,1,328,10:00.4
5281,1,287,15:00.4
5295,1,287,20:00.5
5307,1,328,25:00.6
5320,1,287,30:00.8
5332,1,287,35:00.9
5344,1,328,40:01.0
5357,1,287,45:01.1
5370,1,287,50:01.1
5383,1,328,55:01.2
5396,1,287,00:01.4
5409,1,287,05:01.5
5422,1,328,10:01.6
5434,1,287,15:01.7
5446,1,287,20:01.8
5458,1,287,25:01.8
5470,1,328,30:02.0
5482,1,287,35:02.1
5494,1,287,40:02.1
5508,1,328,45:02.2
5520,1,287,50:02.4
5532,1,287,55:02.5
5544,1,328,00:02.6
5556,1,287,05:02.7
5568,1,287,10:02.7
5580,1,328,15:02.9
5592,1,287,20:03.0
5604,1,287,25:03.1
5616,1,328,30:03.2
5628,1,287,35:03.3
5640,1,287,40:03.3
5652,1,328,45:03.4
5664,1,287,50:03.6
5676,1,287,55:03.7
5688,1,328,00:03.8
5700,1,287,05:03.9
5712,1,287,10:04.0
5724,1,287,15:04.1
5736,1,328,20:04.2
5748,1,287,25:04.3
5760,1,287,30:04.4
5772,1,328,35:04.5
5784,1,287,40:04.6
5796,1,287,45:04.6
5808,1,328,50:04.8
5820,1,287,55:04.9
5832,1,287,00:05.0
5844,1,328,05:05.1
5856,1,287,10:05.2
5868,1,287,15:05.3
5880,1,328,20:05.4
5892,1,287,25:05.5
5904,1,287,30:05.5
5916,1,328,35:05.7
5928,1,287,40:05.8
5940,1,287,45:05.9
5952,1,287,50:06.0
5964,1,328,55:06.1
5976,1,287,00:06.2
5988,1,287,05:06.3
6000,1,328,10:06.4
6012,1,287,15:06.5
6024,1,287,20:06.5
6036,1,328,25:06.7
6048,1,287,30:06.7
6060,1,287,35:06.9
6072,1,328,40:07.0
6084,1,287,45:07.1
6096,1,287,50:07.2
6108,1,328,55:07.3
6120,1,287,00:07.4
6132,1,287,05:07.5
6144,1,328,10:07.5
6156,1,287,15:07.7
6168,1,287,20:07.7
6180,1,328,25:07.9
6192,1,287,30:07.9
6204,1,287,35:08.0
6216,1,287,40:08.2
6228,1,328,45:08.3
6240,1,287,50:08.3
6252,1,287,55:08.4
6264,1,328,00:08.6
6276,1,287,05:08.6
6288,1,287,10:08.8
6300,1,328,15:08.9
6312,1,287,20:09.0
6324,1,287,25:09.1
6336,1,328,30:09.1
6348,1,287,35:09.3
6360,1,287,40:09.4
6372,1,328,45:09.5
6384,1,287,50:09.5
6396,1,287,55:09.7
6408,1,328,00:09.8
6420,1,287,05:09.9
6432,1,287,10:10.0
6444,1,287,15:10.1
6456,1,328,20:10.1
6468,1,287,25:10.2
7041,1,287,50:17.9
7699,1,287,25:27.0
8671,1,328,10:35.1
8875,1,287,35:36.8
9223,1,287,00:39.7
9367,1,287,00:40.9
9463,1,328,40:41.7
7711,1,287,30:27.1
7723,1,328,35:27.2
8083,1,287,05:30.2
8299,1,287,35:32.0
8479,1,328,50:33.5
8491,1,287,55:33.6
8887,1,287,40:36.9
9043,1,328,45:38.2
9235,1,328,05:39.8
9379,1,287,05:41.0
6480,1,287,30:10.3
7735,1,287,40:27.3
7879,1,328,40:28.5
8095,1,287,10:30.3
8503,1,287,00:33.7
9055,1,287,50:38.3
9391,1,328,10:41.1
7053,1,287,55:18.1
8107,1,328,15:30.4
8311,1,287,40:32.1
8515,1,328,05:33.8
8683,1,287,15:35.2
8695,1,287,20:35.3
8707,1,328,25:35.4
8719,1,287,30:35.5
8899,1,328,45:37.0
9067,1,287,55:38.4
9247,1,287,10:39.9
9499,1,328,55:42.0
9523,1,287,05:42.2
9559,1,287,20:42.5
7747,1,287,45:27.4
7891,1,287,45:28.6
8323,1,328,45:32.2
9079,1,287,00:38.5
6516,1,287,45:10.7
7543,1,328,20:25.7
8119,1,287,20:30.5
8131,1,287,25:30.6
8527,1,287,10:33.9
8911,1,287,50:37.1
8923,1,287,55:37.2
9259,1,287,15:40.0
9271,1,328,20:40.1
9283,1,287,25:40.2
6492,1,328,35:10.5
6504,1,287,40:10.6
7567,1,287,30:25.9
8347,1,287,55:32.4
8731,1,287,35:35.6
8935,1,328,00:37.3
9091,1,328,05:38.6
9403,1,287,15:41.2
9415,1,287,20:41.3
6528,1,328,50:10.7
7418,1,328,50:23.9
7555,1,287,25:25.8
7579,1,287,35:26.0
7903,1,287,50:28.7
7927,1,287,00:28.9
8335,1,287,50:32.3
8359,1,287,00:32.5
8539,1,287,15:34.0
6540,1,287,55:10.9
7591,1,328,40:26.1
7759,1,328,50:27.5
7915,1,328,55:28.8
7939,1,287,05:29.0
8143,1,328,30:30.7
8371,1,328,05:32.6
8551,1,328,20:34.1
8743,1,328,40:35.7
9103,1,287,10:38.7
9295,1,287,30:40.3
9475,1,287,45:41.8
9487,1,287,50:41.9
6564,1,328,05:11.0
8155,1,287,35:30.8
8563,1,287,25:34.2
8575,1,287,30:34.3
8947,1,287,05:37.4
6552,1,287,00:11.0
7310,1,287,30:22.3
7771,1,287,55:27.6
7951,1,328,10:29.1
8167,1,287,40:30.9
8383,1,287,10:32.7
8587,1,287,35:34.4
9427,1,328,25:41.4
6588,1,287,15:11.3
7615,1,328,50:26.3
7963,1,287,15:29.2
9115,1,287,15:38.8
9127,1,328,20:38.9
9139,1,287,25:39.0
9151,1,287,30:39.1
9307,1,328,35:40.4
6600,1,287,20:11.4
7783,1,287,00:27.7
7795,1,328,05:27.8
7987,1,328,25:29.4
8179,1,328,45:31.0
8395,1,287,15:32.8
8755,1,287,45:44.4
8767,1,287,50:35.9
8779,1,328,55:36.0
8791,1,287,00:36.1
8959,1,287,10:37.5
9163,1,328,35:39.2
9547,1,287,15:42.4
7627,1,287,55:26.4
7639,1,287,00:26.5
7807,1,287,10:27.9
7975,1,287,20:29.3
8191,1,287,50:31.1
8407,1,328,20:32.9
8599,1,328,40:34.5
8803,1,287,05:36.2
9319,1,287,40:40.5
9439,1,287,30:41.5
6612,1,287,25:11.5
7651,1,328,05:26.6
7999,1,287,30:29.5
8011,1,287,35:29.6
8203,1,287,55:31.2
8215,1,328,00:31.3
8419,1,287,25:33.0
8431,1,287,30:33.1
8611,1,287,45:34.6
8815,1,328,10:36.3
7663,1,287,10:26.7
8227,1,287,05:31.4
8239,1,287,10:31.5
8443,1,328,35:33.2
8971,1,328,15:46.2
8983,1,287,20:37.7
8995,1,287,25:37.8
9451,1,287,35:41.6
6624,1,328,30:11.6
8023,1,328,40:29.7
8623,1,287,50:34.7
8827,1,287,15:36.4
9007,1,328,30:37.9
9175,1,287,40:39.3
9331,1,287,45:40.6
9343,1,287,50:40.7
9511,1,287,00:42.1
9535,1,328,10:42.3
6646,1,328,40:11.8
7675,1,287,15:26.8
7819,1,287,15:28.0
8251,1,328,15:31.6
8455,1,287,40:33.3
8635,1,328,55:34.8
8647,1,287,00:34.9
8851,1,287,25:36.6
8863,1,328,30:36.7
9187,1,287,45:39.4
7005,1,287,35:17.6
7122,1,287,00:19.3
7129,1,328,05:19.5
7687,1,328,20:26.9
7831,1,328,20:28.1
8035,1,287,45:29.8
8047,1,287,50:29.9
8839,1,287,20:36.5
9019,1,287,35:38.0
9199,1,328,50:39.5
9211,1,287,55:39.6
7017,1,287,40:17.7
7029,1,328,45:17.8
7843,1,287,25:28.2
7855,1,287,30:28.3
7867,1,287,35:28.4
8059,1,328,55:30.0
8071,1,287,00:30.1
8263,1,287,20:31.7
8275,1,287,25:31.8
8287,1,328,30:31.9
8467,1,287,45:33.4
8659,1,287,05:35.0
9031,1,287,40:38.1
9355,1,328,55:40.8
9595,1,328,50:43.1
9607,1,287,55:43.2
9631,1,328,10:43.5
9643,1,287,15:43.6
9655,1,287,20:43.7
9667,1,328,25:43.8
9679,1,287,30:43.9
9691,1,287,35:44.0
9703,1,328,40:44.1
9715,1,287,45:44.2
9727,1,287,50:44.3
9739,1,328,55:44.4
9751,1,287,00:44.5
9763,1,287,05:44.6
9775,1,328,10:44.7
9787,1,287,15:44.8
9799,1,287,20:44.9
9811,1,287,25:45.0
9823,1,328,30:45.1
9835,1,287,35:45.2
9847,1,287,40:45.3
9859,1,328,45:45.4
9871,1,287,50:45.5
9883,1,287,55:45.6
9895,1,328,00:45.7
9907,1,287,05:45.8
9931,1,328,15:46.0
9955,1,287,25:46.2
9919,1,287,10:45.9
9943,1,287,20:46.1
9967,1,328,30:46.3
9979,1,287,35:46.4
9991,1,287,40:46.5
10003,1,328,45:46.6
10015,1,287,50:46.7
10027,1,287,55:46.8
10039,1,328,00:46.9
10051,1,287,05:47.0
10063,1,287,10:47.1
10075,1,287,15:47.2
10087,1,328,20:47.3
10099,1,287,25:47.4
10111,1,287,30:47.5
10123,1,328,35:47.6
10135,1,287,40:47.7
10147,1,287,45:47.8
10159,1,328,50:47.9
10171,1,287,55:48.0
10183,1,287,00:48.1
10195,1,328,05:48.2
10207,1,287,10:48.3
10219,1,287,15:48.4
10231,1,328,20:48.5
10243,1,287,25:48.6
10255,1,287,30:48.7
10267,1,328,35:48.8
10279,1,287,40:48.9
10291,1,287,45:49.0
10303,1,287,50:49.1
10315,1,328,55:49.2
10327,1,287,00:49.3
10339,1,287,05:49.4
10351,1,328,10:49.5
10363,1,287,15:49.6
10375,1,287,20:49.7
10387,1,328,25:49.8
10399,1,287,30:49.9
10411,1,287,35:50.0
10423,1,328,40:50.1
10435,1,287,45:50.2
10447,1,287,50:50.3
10459,1,328,55:50.4
10471,1,287,00:50.5
10483,1,287,05:50.6
10495,1,328,10:50.7
10507,1,287,15:50.8
10519,1,287,20:50.9
10531,1,328,25:51.0
10543,1,287,30:51.1
10555,1,287,35:51.2
10567,1,287,40:51.3
10579,1,328,45:51.4
10591,1,287,50:51.5
10603,1,287,55:51.6
10615,1,328,00:51.7
10627,1,287,05:51.8
10639,1,287,10:51.9
10651,1,328,15:52.0
10663,1,287,20:52.2
10675,1,287,25:52.2
10687,1,328,30:52.3
10699,1,287,35:52.4
10711,1,287,40:52.5
10723,1,328,45:52.6
10735,1,287,50:52.7
10747,1,287,55:52.8
10759,1,328,00:52.9
10771,1,287,05:53.0
10783,1,287,10:53.1
10795,1,287,15:53.2
10807,1,328,20:53.3
10819,1,287,25:53.4
10831,1,287,30:53.5
10843,1,328,35:53.6
10855,1,287,40:53.7
10867,1,287,45:53.8
10879,1,328,50:53.9
10891,1,287,55:54.0
10903,1,287,00:54.1
10915,1,328,05:54.2
10927,1,287,10:54.3
10939,1,287,15:54.4
10951,1,328,20:54.5
10963,1,287,25:54.6
10975,1,287,30:54.7
10987,1,328,35:54.8
10999,1,287,40:54.9
11011,1,287,45:55.0
11023,1,328,50:55.1
11035,1,287,55:55.2
11047,1,287,00:55.3
11059,1,287,05:55.4
11071,1,328,10:55.5
11083,1,287,15:55.6
11095,1,287,20:55.7
11107,1,328,25:55.8
11155,1,287,55:57.6
11167,1,287,00:57.7
11179,1,328,05:57.8
11191,1,287,10:57.9
11203,1,287,15:58.0
11215,1,328,20:58.1
11227,1,287,25:58.2
11239,1,287,30:58.3
11251,1,328,35:58.4
11263,1,287,40:58.5
11275,1,287,45:58.6
11287,1,328,50:58.7
11299,1,287,55:58.8
11311,1,287,00:58.9
11323,1,287,05:59.0
11335,1,328,10:59.1
11347,1,287,15:59.2
11359,1,287,20:59.3
11371,1,328,25:59.4
11383,1,287,30:59.5
11395,1,287,35:59.6
11407,1,328,40:59.7
11419,1,287,45:59.8
11431,1,287,50:59.9
11443,1,328,56:00.0
11444,1,287,00:00.1
11456,1,287,05:00.2
11468,1,328,10:00.3
11480,1,287,15:00.4
11492,1,287,20:00.4
11504,1,328,25:00.6
11516,1,287,30:00.7
11529,1,287,35:00.8
11541,1,328,40:00.9
11555,1,287,45:01.0
11567,1,287,50:01.1
11579,1,287,55:01.2
11592,1,328,00:01.3
11604,1,287,05:01.4
11617,1,287,10:01.5
11629,1,328,15:01.5
11641,1,287,20:01.7
11653,1,287,25:01.8
11667,1,328,30:01.9
11680,1,287,35:02.0
11693,1,287,40:02.1
11705,1,328,45:02.2
11717,1,287,50:02.3
11729,1,287,55:02.4
11767,1,287,10:03.9
11779,1,287,15:03.9
11791,1,287,20:04.0
11803,1,328,25:04.2
11815,1,287,30:04.3
11827,1,287,35:04.4
11839,1,328,40:04.5
11863,1,287,50:04.7
11851,1,287,45:04.6
11875,1,328,55:04.8
11887,1,287,00:04.9
11899,1,287,05:05.0
11911,1,328,10:05.1
11923,1,287,15:05.1
11935,1,287,20:05.3
11947,1,328,25:05.4
11959,1,287,30:05.5
11971,1,287,35:05.6
11983,1,328,40:05.7
11995,1,287,45:05.8
12007,1,287,50:05.9
12019,1,287,55:06.0
12031,1,328,00:06.1
12043,1,287,05:06.2
12055,1,287,10:06.3
12067,1,328,15:06.4
12079,1,287,20:06.5
12091,1,287,25:06.5
12103,1,328,30:06.7
12115,1,287,35:06.7
12127,1,287,40:06.8
12139,1,328,45:07.0
12151,1,287,50:07.1
12163,1,287,55:07.2
12175,1,328,00:07.3
12187,1,287,05:07.4
12199,1,287,10:07.5
12211,1,328,15:07.6
12223,1,287,20:07.6
12235,1,287,25:07.8
12247,1,328,30:07.9
12259,1,287,35:07.9
12271,1,287,40:08.1
12283,1,287,45:08.2
12295,1,328,50:08.3
12307,1,287,55:08.4
12319,1,287,00:08.4
12331,1,328,05:08.5
12343,1,287,10:08.7
12367,1,328,20:08.8
12379,1,287,25:09.0
12391,1,287,30:09.1
12403,1,328,35:09.2
12415,1,287,40:09.3
12427,1,287,45:09.4
12438,1,287,50:09.5
12631,1,328,05:12.2
12643,1,287,10:12.3
12847,1,287,35:15.1
12859,1,328,40:15.2
12871,1,287,45:15.3
12883,1,287,50:15.4
12895,1,328,55:15.5
13144,1,1131,40:18.8
13309,1,492,40:21.2
13321,1,287,45:21.3
13473,1,287,30:23.4
13483,1,287,35:23.5
13494,1,328,40:23.6
13504,1,287,45:23.7
13514,1,287,50:23.8
13523,1,328,55:23.9
13533,1,287,00:24.0
13545,1,287,05:24.1
13557,1,328,10:24.2
13569,1,287,15:24.3
13581,1,287,20:24.4
13593,1,287,25:24.5
13605,1,287,30:24.6
13617,1,328,35:24.7
13641,1,328,45:24.9
13653,1,287,50:25.0
13665,1,287,55:25.1
13677,1,328,00:25.2
13689,1,287,05:25.3
13701,1,287,10:25.4
13761,1,287,45:26.1
13773,1,287,50:26.2
13785,1,328,55:26.3
13797,1,287,00:26.4
13821,1,287,10:26.6
13833,1,287,15:26.7
13845,1,328,20:26.8
13857,1,287,25:26.9
13869,1,287,30:27.0
13881,1,328,35:27.1
13893,1,287,40:27.2
13905,1,287,45:27.3
13917,1,328,50:27.4
13929,1,287,55:27.5
13941,1,287,00:27.6
13953,1,328,05:27.7
13965,1,287,10:27.8
13977,1,287,15:27.9
13989,1,328,20:28.0
14001,1,287,25:28.1
14013,1,287,30:28.2
14025,1,328,35:28.3
14037,1,287,40:28.4
14049,1,287,45:28.5
14061,1,287,50:28.6
14073,1,328,55:28.7
14085,1,287,00:28.8
14097,1,287,05:28.9
14109,1,328,10:29.0
14121,1,287,15:29.1
14133,1,287,20:29.2
14145,1,328,25:29.3
14157,1,287,30:29.4
14169,1,287,35:29.5
14181,1,328,40:29.6
14193,1,287,45:29.7
14205,1,287,50:29.8
14217,1,328,55:29.9
14229,1,287,00:30.0
14241,1,287,05:30.1
14253,1,328,10:30.2
14265,1,287,15:30.3
14277,1,287,20:30.4
14289,1,287,25:30.5
14301,1,328,30:30.6
14313,1,287,35:30.7
14325,1,287,40:30.8
14337,1,328,45:30.9
14349,1,287,50:31.0
14361,1,287,55:31.1
14373,1,328,00:31.2
14385,1,287,05:31.3
14397,1,287,10:31.4
14409,1,328,15:31.5
14421,1,287,20:31.6
14433,1,287,25:31.7
14445,1,328,30:31.8
14457,1,287,35:31.9
14469,1,287,40:32.0
14481,1,328,45:32.1
14493,1,287,50:32.2
14505,1,287,55:32.3
14517,1,328,00:32.4
14529,1,287,05:32.5
14541,1,287,10:32.6
14553,1,287,15:32.7
14565,1,328,20:32.8
14577,1,287,25:32.9
14589,1,287,30:33.0
14601,1,328,35:33.1
14613,1,287,40:33.2
14625,1,287,45:33.3
14637,1,328,50:33.4
14649,1,287,55:33.5
14661,1,287,00:33.6
14673,1,328,05:33.7
14685,1,287,10:33.8
14697,1,287,15:33.9
14709,1,328,20:34.0
14721,1,287,25:34.1
14733,1,287,30:34.2
14745,1,328,35:34.3
14757,1,287,40:34.4
14769,1,287,45:34.5
14781,1,287,50:34.6
14793,1,328,55:34.7
14805,1,287,00:34.8
14817,1,287,05:34.9
14829,1,328,10:35.0
14841,1,287,15:35.1
14853,1,287,20:35.2
14865,1,328,25:35.3
14877,1,287,30:35.4
14889,1,287,35:35.5
14901,1,328,40:35.6
14913,1,287,45:35.7
14925,1,287,50:35.8
14937,1,328,55:35.9
14949,1,287,00:36.0
14961,1,287,05:36.1
14973,1,328,10:36.2
14985,1,287,15:36.3
14997,1,287,20:36.4
15009,1,328,25:36.5
15021,1,287,30:36.6
15033,1,287,35:36.7
15045,1,287,40:36.8
15057,1,328,45:36.9
15081,1,287,55:37.1
15069,1,287,50:37.0
15093,1,328,00:37.2
15105,1,287,05:37.3
15117,1,287,10:37.4
15129,1,328,15:37.5
15141,1,287,20:37.6
15153,1,287,25:37.7
15165,1,328,30:37.8
15177,1,287,35:37.9
15542,1,287,35:43.9
15554,1,287,40:44.0
15566,1,287,45:44.1
15577,1,287,50:51.8
15589,1,328,55:44.2
15958,1,287,45:50.0
16053,1,328,45:51.2
16065,1,287,50:51.3
16077,1,287,55:51.4
16165,1,287,50:52.5
16173,1,287,55:52.6
16282,1,287,00:53.9
16294,1,287,05:54.0
16306,1,328,10:54.1
16318,1,287,15:54.2
16330,1,287,20:54.3
16342,1,287,25:54.4
16354,1,328,30:54.5
16366,1,287,35:54.6
16378,1,287,40:54.7
16390,1,287,45:54.8
16402,1,328,50:54.9
16414,1,287,55:55.0
16426,1,287,00:55.1
16438,1,328,05:55.2
16450,1,287,10:55.3
16462,1,287,15:55.4
16474,1,328,20:55.5
16486,1,287,25:55.6
16498,1,287,30:55.7
16510,1,328,35:55.8
16522,1,287,40:55.9
16534,1,287,45:56.0
16546,1,328,50:56.1
16558,1,287,55:56.2
16570,1,287,00:56.3
16582,1,328,05:56.4
16594,1,287,10:56.5
16606,1,287,15:56.6
16618,1,287,20:56.7
16630,1,328,25:56.8
16642,1,287,30:56.9
16654,1,287,35:57.0
16666,1,328,40:57.1
16678,1,287,46:04.4
16690,1,287,50:57.3
16702,1,328,55:57.4
16714,1,287,00:57.5
16726,1,287,05:57.6
16738,1,328,10:57.7
16750,1,287,15:57.8
16762,1,287,20:57.9
16774,1,328,25:58.0
16786,1,287,30:58.1
16798,1,287,35:58.2
16810,1,328,40:58.3
16822,1,287,45:58.4
16834,1,287,50:58.5
16846,1,328,55:58.6
16858,1,287,00:58.7
