"DOWNTIME_ID","START_TIME","END_TIME","MACHINE_NO","REASON","NOTES"
"2216","02-MAY-21 07.24.53.000000 AM UTC","02-MAY-21 07.25.38.000000 AM UTC","8","Productivity loss",""
"2218","02-MAY-21 07.27.46.000000 AM UTC","02-MAY-21 07.28.29.000000 AM UTC","8","Productivity loss",""
"2221","02-MAY-21 07.32.02.000000 AM UTC","02-MAY-21 07.32.44.000000 AM UTC","8","Productivity loss",""
"2222","02-MAY-21 07.33.29.000000 AM UTC","02-MAY-21 07.34.10.000000 AM UTC","8","Productivity loss",""
"2262","02-MAY-21 08.41.39.000000 AM UTC","02-MAY-21 08.43.06.000000 AM UTC","8","Productivity loss",""
"2263","02-MAY-21 08.43.10.000000 AM UTC","02-MAY-21 08.44.04.000000 AM UTC","8","Productivity loss",""
"2264","02-MAY-21 08.44.09.000000 AM UTC","02-MAY-21 08.45.46.000000 AM UTC","8","Productivity loss",""
"2265","02-MAY-21 08.45.58.000000 AM UTC","02-MAY-21 08.47.36.000000 AM UTC","8","Productivity loss",""
"2266","02-MAY-21 08.49.32.000000 AM UTC","02-MAY-21 08.50.20.000000 AM UTC","9","Productivity loss",""
"2267","02-MAY-21 08.49.58.000000 AM UTC","02-MAY-21 08.50.53.000000 AM UTC","8","Productivity loss",""
"2269","02-MAY-21 08.56.43.000000 AM UTC","02-MAY-21 08.57.41.000000 AM UTC","8","Productivity loss",""
"2273","02-MAY-21 08.59.57.000000 AM UTC","02-MAY-21 09.01.07.000000 AM UTC","7","Productivity loss",""
"2276","02-MAY-21 09.04.42.000000 AM UTC","02-MAY-21 09.05.29.000000 AM UTC","7","Productivity loss",""
"2277","02-MAY-21 09.06.42.000000 AM UTC","02-MAY-21 09.07.29.000000 AM UTC","7","Productivity loss",""
"2281","02-MAY-21 09.08.27.000000 AM UTC","02-MAY-21 09.09.26.000000 AM UTC","7","Productivity loss",""
"2310","02-MAY-21 11.04.47.000000 AM UTC","02-MAY-21 11.05.41.000000 AM UTC","9","Productivity loss",""
"2311","02-MAY-21 11.04.47.000000 AM UTC","02-MAY-21 11.05.52.000000 AM UTC","7","Productivity loss",""
"2312","02-MAY-21 11.05.45.000000 AM UTC","02-MAY-21 11.06.33.000000 AM UTC","9","Productivity loss",""
"2314","02-MAY-21 11.07.11.000000 AM UTC","02-MAY-21 11.08.41.000000 AM UTC","7","Productivity loss",""
"2346","02-MAY-21 01.24.49.000000 PM UTC","02-MAY-21 01.25.47.000000 PM UTC","7","Productivity loss",""
"2347","02-MAY-21 01.24.53.000000 PM UTC","02-MAY-21 01.26.09.000000 PM UTC","9","Productivity loss",""
"2348","02-MAY-21 01.25.52.000000 PM UTC","02-MAY-21 01.27.10.000000 PM UTC","7","Productivity loss",""
"2351","02-MAY-21 01.32.35.000000 PM UTC","02-MAY-21 01.35.11.000000 PM UTC","7","Productivity loss",""
"2352","02-MAY-21 01.35.00.000000 PM UTC","02-MAY-21 01.35.46.000000 PM UTC","9","Productivity loss",""
"2353","02-MAY-21 01.44.01.000000 PM UTC","02-MAY-21 01.45.18.000000 PM UTC","9","Productivity loss",""
"2354","02-MAY-21 01.52.09.000000 PM UTC","02-MAY-21 01.53.42.000000 PM UTC","9","Productivity loss",""
"2355","02-MAY-21 01.52.09.000000 PM UTC","02-MAY-21 01.53.56.000000 PM UTC","7","Productivity loss",""
"2357","02-MAY-21 01.57.52.000000 PM UTC","02-MAY-21 02.00.13.000000 PM UTC","7","Productivity loss",""
"2358","02-MAY-21 02.00.28.000000 PM UTC","02-MAY-21 02.01.20.000000 PM UTC","7","Productivity loss",""
"2359","02-MAY-21 02.04.27.000000 PM UTC","02-MAY-21 02.05.11.000000 PM UTC","7","Productivity loss",""
"2385","02-MAY-21 04.53.42.000000 PM UTC","02-MAY-21 04.54.33.000000 PM UTC","7","Productivity loss",""
"2398","03-MAY-21 07.12.43.000000 AM UTC","03-MAY-21 07.13.32.000000 AM UTC","6","Productivity loss",""
"2399","03-MAY-21 07.17.52.000000 AM UTC","03-MAY-21 07.19.35.000000 AM UTC","9","Productivity loss",""
"2431","03-MAY-21 09.04.22.000000 AM UTC","03-MAY-21 09.05.06.000000 AM UTC","9","Productivity loss",""
"2449","03-MAY-21 10.15.54.000000 AM UTC","03-MAY-21 10.16.39.000000 AM UTC","8","Productivity loss",""
"2450","03-MAY-21 10.17.08.000000 AM UTC","03-MAY-21 10.18.05.000000 AM UTC","9","Productivity loss",""
"2451","03-MAY-21 10.20.36.000000 AM UTC","03-MAY-21 10.22.10.000000 AM UTC","8","Productivity loss",""
"2454","03-MAY-21 10.24.29.000000 AM UTC","03-MAY-21 10.27.37.000000 AM UTC","9","Productivity loss",""
"2455","03-MAY-21 10.28.28.000000 AM UTC","03-MAY-21 10.29.13.000000 AM UTC","9","Productivity loss",""
"2457","03-MAY-21 10.31.58.000000 AM UTC","03-MAY-21 10.32.46.000000 AM UTC","9","Productivity loss",""
"2458","03-MAY-21 10.35.20.000000 AM UTC","03-MAY-21 10.36.19.000000 AM UTC","8","Productivity loss",""
"2462","03-MAY-21 10.40.03.000000 AM UTC","03-MAY-21 10.43.04.000000 AM UTC","8","Productivity loss",""
"2465","03-MAY-21 10.47.06.000000 AM UTC","03-MAY-21 10.50.15.000000 AM UTC","4","Productivity loss",""
"2466","03-MAY-21 10.44.09.000000 AM UTC","03-MAY-21 10.50.34.000000 AM UTC","8","",""
"2467","03-MAY-21 10.49.23.000000 AM UTC","03-MAY-21 10.50.38.000000 AM UTC","9","Productivity loss",""
"2468","03-MAY-21 10.52.52.000000 AM UTC","03-MAY-21 10.54.05.000000 AM UTC","9","Productivity loss",""
"2470","03-MAY-21 11.02.48.000000 AM UTC","03-MAY-21 11.05.28.000000 AM UTC","4","Productivity loss",""
"2472","03-MAY-21 11.08.00.000000 AM UTC","03-MAY-21 11.08.48.000000 AM UTC","8","Productivity loss",""
"2473","03-MAY-21 11.09.10.000000 AM UTC","03-MAY-21 11.10.12.000000 AM UTC","4","Productivity loss",""
"2474","03-MAY-21 11.04.24.000000 AM UTC","03-MAY-21 11.14.24.000000 AM UTC","6","",""
"2476","03-MAY-21 11.19.28.000000 AM UTC","03-MAY-21 11.25.54.000000 AM UTC","6","",""
"2497","03-MAY-21 12.35.08.000000 PM UTC","03-MAY-21 12.42.47.000000 PM UTC","8","",""
"2498","03-MAY-21 12.35.05.000000 PM UTC","03-MAY-21 12.42.48.000000 PM UTC","9","",""
"2499","03-MAY-21 12.35.05.000000 PM UTC","03-MAY-21 12.42.54.000000 PM UTC","6","",""
"2500","03-MAY-21 12.43.14.000000 PM UTC","03-MAY-21 12.44.39.000000 PM UTC","8","Productivity loss",""
"2501","03-MAY-21 12.42.48.000000 PM UTC","03-MAY-21 12.45.58.000000 PM UTC","9","Productivity loss",""
"2572","03-MAY-21 03.33.31.000000 PM UTC","03-MAY-21 03.34.12.000000 PM UTC","8","Productivity loss",""
"2600","05-MAY-21 06.28.18.000000 AM UTC","05-MAY-21 07.27.53.000000 AM UTC","3","",""
"2601","05-MAY-21 07.27.53.000000 AM UTC","05-MAY-21 07.31.58.000000 AM UTC","3","Productivity loss",""
"2602","05-MAY-21 07.35.16.000000 AM UTC","05-MAY-21 07.37.07.000000 AM UTC","9","Productivity loss",""
"2604","05-MAY-21 07.45.14.000000 AM UTC","05-MAY-21 07.46.10.000000 AM UTC","9","Productivity loss",""
"2606","05-MAY-21 07.50.02.000000 AM UTC","05-MAY-21 08.03.54.000000 AM UTC","3","",""
"2607","05-MAY-21 08.08.34.000000 AM UTC","05-MAY-21 08.09.22.000000 AM UTC","10","Productivity loss",""
"2608","05-MAY-21 08.08.56.000000 AM UTC","05-MAY-21 08.09.39.000000 AM UTC","9","Productivity loss",""
"2615","05-MAY-21 08.40.13.000000 AM UTC","05-MAY-21 08.54.39.000000 AM UTC","6","",""
"2616","05-MAY-21 08.55.17.000000 AM UTC","05-MAY-21 08.56.07.000000 AM UTC","9","Productivity loss",""
"2618","05-MAY-21 08.56.36.000000 AM UTC","05-MAY-21 08.59.25.000000 AM UTC","6","Productivity loss",""
"2620","05-MAY-21 09.03.32.000000 AM UTC","05-MAY-21 09.04.19.000000 AM UTC","9","Productivity loss",""
"2624","05-MAY-21 09.20.32.000000 AM UTC","05-MAY-21 09.21.15.000000 AM UTC","6","Productivity loss",""
"2625","05-MAY-21 09.21.19.000000 AM UTC","05-MAY-21 09.25.20.000000 AM UTC","6","Productivity loss",""
"2658","05-MAY-21 10.50.57.000000 AM UTC","05-MAY-21 10.54.19.000000 AM UTC","9","Productivity loss",""
"2661","05-MAY-21 11.04.36.000000 AM UTC","05-MAY-21 11.05.20.000000 AM UTC","10","Productivity loss",""
"2680","05-MAY-21 12.46.36.000000 PM UTC","05-MAY-21 12.47.25.000000 PM UTC","6","Productivity loss",""
"2682","05-MAY-21 12.50.43.000000 PM UTC","05-MAY-21 12.52.29.000000 PM UTC","9","Productivity loss",""
"2683","05-MAY-21 12.57.34.000000 PM UTC","05-MAY-21 12.58.21.000000 PM UTC","9","Productivity loss",""
"2696","05-MAY-21 02.03.59.000000 PM UTC","05-MAY-21 02.04.41.000000 PM UTC","3","Productivity loss",""
"2697","05-MAY-21 02.05.03.000000 PM UTC","05-MAY-21 02.05.49.000000 PM UTC","3","Productivity loss",""
"2698","05-MAY-21 02.06.07.000000 PM UTC","05-MAY-21 02.06.49.000000 PM UTC","3","Productivity loss",""
"2700","05-MAY-21 02.12.41.000000 PM UTC","05-MAY-21 02.13.43.000000 PM UTC","3","Productivity loss",""
"2702","05-MAY-21 02.15.50.000000 PM UTC","05-MAY-21 02.16.40.000000 PM UTC","3","Productivity loss",""
